Date,Close,High,Low,Open,Volume,SMA20,EMA20,RSI14,MACD,MACD_Signal,MACD_Hist
2009-01-02,2.721686363220215,2.730384564060046,2.554037226218475,2.5756304672583537,746015200,,2.721686363220215,,,,
2009-01-05,2.836552858352661,2.8845386270494378,2.7804693222595778,2.79426571877622,1181608400,,2.732626029423305,,,,
2009-01-06,2.789766788482666,2.914229252603177,2.7708724008265406,2.877640546798946,1289310400,,2.7380680064765777,,,,
2009-01-07,2.7294838428497314,2.774170305556812,2.7069904526804853,2.7534772194820034,753048800,,2.7372504670835447,,,,
2009-01-08,2.7801692485809326,2.793665726055566,2.7003930560001206,2.7120900298397097,673500800,,2.741337970083296,,,,
2009-01-09,2.7165889739990234,2.8005640264937397,2.703393211800058,2.795465832185914,546845600,,2.738980922837175,,,,
2009-01-12,2.659006834030152,2.7288857765895536,2.625716607902898,2.712990156603704,617716400,,2.7313643429507914,,,,
2009-01-13,2.6305136680603027,2.691395462126428,2.589726327697364,2.646409280691181,798397600,,2.721759516770745,,,,
2009-01-14,2.5591349601745605,2.6167174643595703,2.540840210080983,2.586426826388225,1021664000,,2.706271463761585,,,,
2009-01-15,2.5006520748138428,2.522845744932796,2.400782261078231,2.4163773531078525,1831634000,,2.686688664814181,,,,
2009-01-16,2.469162702560425,2.5306441531327795,2.411280460137487,2.5282450147195594,1047625600,,2.6659719065042995,,,,
2009-01-20,2.345299482345581,2.459265255971349,2.345299482345581,2.4571658348236154,919914800,,2.6354316756320406,,,,
2009-01-21,2.4841578006744385,2.485657587304835,2.3785895195590543,2.380988657616996,1089270000,,2.621024639921793,,,,
2009-01-22,2.6500084400177,2.699194277354555,2.573831446739748,2.640411686902462,1409528400,,2.623785001835689,50.419078379052095,,,
2009-01-23,2.6500084400177,2.6952951521815165,2.594225623248156,2.603822176151575,763770000,,2.626282472138738,50.419078379052095,,,
2009-01-26,2.6883976459503174,2.728285849468511,2.6482089244705675,2.6650040945179034,692238400,,2.632198202977936,53.26953780067706,,,
2009-01-27,2.7210872173309326,2.7456802359045525,2.6913962052543208,2.704891883220633,618038400,,2.640663823392507,55.60983906778783,,,
2009-01-28,2.825156688690185,2.849149273464093,2.744180613913186,2.7627750873459767,861406000,,2.6582345724684764,62.114741050266645,,,
2009-01-29,2.7891674041748047,2.82935532104658,2.777170712255149,2.7918662594330987,592729200,,2.6707043659643173,58.900295605151385,,,
2009-01-30,2.7030935287475586,2.807761477341915,2.6994943204445803,2.777171109838325,651478800,2.6624547481536864,2.67378904813415,51.97288354772367,,,
2009-02-02,2.744479179382324,2.759174721485117,2.6662027937577357,2.672201137646014,558247200,2.663594388961792,2.680521441586357,54.72983271986199,,,
2009-02-03,2.788567304611206,2.800563997974938,2.707592026948076,2.75677686804467,599309200,2.6611951112747194,2.6908115237791996,57.52695935037781,,,
2009-02-04,2.805661678314209,2.8866379479824658,2.792166200636312,2.795765408454838,808421600,2.661989855766296,2.7017496337349147,58.59519488187225,,,
2009-02-05,2.892935514450073,2.916628176279645,2.7777698935595354,2.7822684520838354,749246400,2.6701624393463135,2.719957812850644,63.62521433154976,,,
2009-02-06,2.9907076358795166,2.9991051211692152,2.909131921485415,2.9097313557404125,687209600,2.6806893587112426,2.745743510281965,68.27503055046118,,,
2009-02-09,3.0743815898895264,3.089077137272778,2.9841084840511125,2.9991047495838146,715010800,2.698578989505768,2.7770423750064945,71.61872912895863,0.07164034372695838,,
